id;first_name;last_name;address;city;telephone
1;Grant;Dibbert;offensively bloat;Lerastad;(630) 473-1519 x721
2;Vicente;Windler;terribly beautifully;East Ebony;975.677.2561
3;Elouise;Lynch;needily;Haleycester;347-381-5424 x47262
4;Berta;Heidenreich;hoax needily those;Trompstad;(754) 599-1010 x9589
5;Danny;Rolfson-Breitenberg;faithfully who;East Marianohaven;(678) 421-4348 x5991
6;Manuel;Dare;round boo;New August;898-589-5510
7;Sandrine;Fisher;through versus;Maribelfort;1-235-873-8751 x7000
8;Kayleigh;Christiansen;decimal manhandle via;Fort Leilaniberg;662.450.0630
9;Owen;Schowalter;couch ew delirious;Bashirianside;324-916-4267 x2600
10;Westley;Reinger;assassination;Emelieland;(664) 692-4994 x069
